Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 592522, -0.973389, 0.244385, -0.045044, -0.793457, -1.586915, 0.122070,riding
B, 206075, -0.916260, -0.094360, -0.377808, -0.732422, 0.183106, -0.488281,riding
A, 592542, -0.972412, 0.253174, -0.044189, -0.427246, -2.075195, -0.488281,riding
B, 206095, -0.915405, -0.091309, -0.378906, -0.366211, -0.061035, -0.122070,riding
A, 592562, -0.971680, 0.250610, -0.043457, -0.244141, -2.380371, -0.793457,riding
B, 206115, -0.914673, -0.094116, -0.378540, -0.244141, -0.366211, 0.183106,riding
A, 592582, -0.972290, 0.251221, -0.037842, -0.366211, -2.563477, -1.098633,riding
B, 206135, -0.915039, -0.094482, -0.379517, -0.366211, -0.671387, 0.366211,riding
A, 592602, -0.972534, 0.248413, -0.037354, -0.061035, -2.807618, -1.403809,riding
B, 206155, -0.914795, -0.091309, -0.379395, -0.122070, -0.976563, 0.610352,riding
A, 592622, -0.971313, 0.251465, -0.039429, -0.427246, -2.990724, -1.647950,riding
B, 206175, -0.914917, -0.088867, -0.380981, -0.488281, -1.403809, 0.854492,riding
A, 592642, -0.970825, 0.256104, -0.033936, -0.244141, -3.295899, -1.953125,riding
B, 206195, -0.914917, -0.086182, -0.380371, -0.244141, -1.708985, 1.159668,riding
A, 592662, -0.971436, 0.252441, -0.024902, -0.061035, -3.479005, -2.380371,riding
B, 206215, -0.916138, -0.084839, -0.377808, 0.000000, -2.014160, 1.403809,riding
A, 592682, -0.971802, 0.248047, -0.024780, 0.183106, -3.662110, -2.746582,riding
B, 206235, -0.917969, -0.082642, -0.375000, 0.122070, -2.258301, 1.525879,riding
A, 592702, -0.974243, 0.234375, -0.016846, 0.183106, -3.845216, -2.990724,riding
B, 206255, -0.919678, -0.076294, -0.369873, 0.122070, -2.502441, 1.647950,riding
A, 592722, -0.977051, 0.213745, 0.001099, 0.183106, -4.028320, -3.234864,riding
B, 206275, -0.922852, -0.076172, -0.363892, 0.183106, -2.624512, 1.770020,riding
A, 592742, -0.978638, 0.211426, 0.017944, -0.671387, -3.784181, -3.234864,riding
B, 206295, -0.924316, -0.067871, -0.359863, -0.549316, -2.807618, 1.464844,riding
A, 592762, -0.977051, 0.212036, 0.030518, -0.366211, -3.723145, -3.295899,riding
B, 206315, -0.927734, -0.051758, -0.356812, -0.183106, -2.990724, 1.403809,riding
A, 592782, -0.977539, 0.205322, 0.038452, 0.061035, -3.662110, -3.479005,riding
B, 206335, -0.928345, -0.051880, -0.354248, 0.000000, -2.929688, 1.342773,riding
A, 592802, -0.979492, 0.197632, 0.041992, 0.000000, -3.417970, -3.540040,riding
B, 206355, -0.929810, -0.052490, -0.349854, 0.000000, -2.929688, 1.098633,riding
A, 592822, -0.981689, 0.184326, 0.050171, -0.122070, -3.112794, -3.479005,riding
B, 206375, -0.932251, -0.046509, -0.343506, -0.061035, -2.868653, 0.793457,riding
A, 592842, -0.983521, 0.172485, 0.051880, -0.061035, -2.929688, -3.417970,riding
B, 206395, -0.934204, -0.045044, -0.337646, 0.122070, -2.807618, 0.671387,riding
A, 592862, -0.985596, 0.164307, 0.051514, 0.000000, -2.685547, -3.234864,riding
B, 206415, -0.936523, -0.047729, -0.335205, 0.183106, -2.624512, 0.366211,riding
A, 592882, -0.986694, 0.153931, 0.054688, -0.122070, -2.380371, -2.990724,riding
B, 206435, -0.937012, -0.046265, -0.332397, 0.000000, -2.380371, -0.061035,riding
A, 592902, -0.985962, 0.157837, 0.058960, -0.366211, -1.953125, -2.624512,riding
B, 206455, -0.936646, -0.042480, -0.333374, -0.061035, -2.197266, -0.305176,riding
A, 592922, -0.984375, 0.167114, 0.060791, -0.305176, -1.708985, -2.502441,riding
B, 206475, -0.937012, -0.040405, -0.334473, 0.061035, -2.014160, -0.549316,riding
A, 592942, -0.985229, 0.161377, 0.060791, 0.183106, -1.464844, -2.441406,riding
B, 206495, -0.938477, -0.043213, -0.331543, 0.488281, -1.831055, -0.671387,riding
A, 592962, -0.986694, 0.156250, 0.058472, -0.122070, -1.037598, -2.197266,riding
B, 206515, -0.938354, -0.045288, -0.329712, 0.244141, -1.647950, -1.098633,riding
A, 592982, -0.985352, 0.160889, 0.055298, -0.183106, -0.854492, -2.014160,riding
B, 206535, -0.937622, -0.041992, -0.331421, 0.244141, -1.525879, -1.342773,riding
A, 593002, -0.987183, 0.158325, 0.051025, 0.244141, -0.671387, -2.075195,riding
B, 206555, -0.937378, -0.046387, -0.331055, 0.671387, -1.281738, -1.464844,riding
A, 593022, -0.989502, 0.146729, 0.039429, 0.488281, -0.427246, -1.770020,riding
B, 206575, -0.939209, -0.057251, -0.325684, 0.793457, -0.915528, -1.647950,riding
A, 593042, -0.990112, 0.140015, 0.027222, 0.305176, -0.305176, -1.464844,riding
B, 206595, -0.940308, -0.058960, -0.321289, 0.610352, -0.671387, -1.831055,riding
A, 593062, -0.990845, 0.134888, 0.026123, 0.000000, -0.122070, -0.915528,riding
B, 206615, -0.941528, -0.058105, -0.319946, 0.427246, -0.366211, -2.014160,riding
A, 593082, -0.990234, 0.141113, 0.033691, -0.244141, 0.061035, -0.610352,riding
B, 206635, -0.940063, -0.058594, -0.322144, 0.244141, -0.122070, -2.136230,riding
A, 593102, -0.988770, 0.147461, 0.029785, -0.061035, 0.183106, -0.488281,riding
B, 206655, -0.940674, -0.057983, -0.323486, 0.488281, 0.122070, -2.197266,riding
A, 593122, -0.990479, 0.139526, 0.022461, 0.488281, 0.183106, -0.305176,riding
B, 206675, -0.939331, -0.060913, -0.323242, 0.854492, 0.427246, -2.136230,riding
A, 593142, -0.990967, 0.139526, 0.021973, -0.122070, 0.366211, 0.061035,riding
B, 206695, -0.938477, -0.062134, -0.325562, 0.366211, 0.610352, -2.441406,riding
A, 593162, -0.989380, 0.145752, 0.019775, 0.122070, 0.427246, 0.366211,riding
B, 206715, -0.937988, -0.067627, -0.328613, 0.610352, 1.037598, -2.441406,riding
A, 593182, -0.989624, 0.149292, 0.015015, -0.061035, 0.549316, 0.671387,riding
B, 206735, -0.936768, -0.069458, -0.329834, 0.183106, 1.159668, -2.624512,riding
A, 593202, -0.987793, 0.160156, 0.004639, -0.244141, 0.610352, 0.854492,riding
B, 206755, -0.934937, -0.070190, -0.331177, 0.305176, 1.403809, -2.563477,riding
A, 593222, -0.986816, 0.162598, -0.000977, 0.000000, 0.549316, 0.976563,riding
B, 206775, -0.934570, -0.077393, -0.333130, 0.305176, 1.525879, -2.502441,riding
A, 593242, -0.986694, 0.168335, -0.002808, -0.610352, 0.549316, 1.220703,riding
B, 206795, -0.932495, -0.079346, -0.337402, -0.122070, 1.586915, -2.685547,riding
A, 593262, -0.983887, 0.177490, -0.006104, -0.793457, 0.610352, 1.281738,riding
B, 206815, -0.931641, -0.075317, -0.342285, -0.427246, 1.708985, -2.746582,riding
A, 593282, -0.984375, 0.180420, -0.012817, -0.061035, 0.366211, 1.403809,riding
B, 206835, -0.929077, -0.081177, -0.346802, 0.122070, 1.892090, -2.380371,riding
A, 593302, -0.983887, 0.183350, -0.011230, -0.915528, 0.488281, 1.586915,riding
B, 206855, -0.927124, -0.085083, -0.349609, -0.854492, 1.831055, -2.746582,riding
A, 593322, -0.981323, 0.202271, -0.010864, -1.586915, 0.488281, 1.586915,riding
B, 206875, -0.925415, -0.081055, -0.354248, -0.976563, 1.770020, -2.624512,riding
A, 593342, -0.979004, 0.212524, -0.013916, -0.671387, 0.305176, 1.403809,riding
B, 206895, -0.924805, -0.080688, -0.356445, -0.183106, 1.770020, -2.258301,riding
A, 593362, -0.978638, 0.215820, -0.020752, -0.549316, 0.183106, 1.220703,riding
B, 206915, -0.923096, -0.086792, -0.362183, -0.427246, 1.586915, -2.258301,riding
A, 593382, -0.976440, 0.223633, -0.032959, -0.793457, 0.061035, 1.037598,riding
B, 206935, -0.921143, -0.091187, -0.365845, -0.366211, 1.525879, -2.075195,riding
A, 593402, -0.978027, 0.220215, -0.037720, -0.244141, -0.305176, 0.915528,riding
B, 206955, -0.921509, -0.094482, -0.366821, -0.122070, 1.403809, -1.770020,riding
A, 593422, -0.978027, 0.221191, -0.039307, -0.854492, -0.427246, 0.915528,riding
B, 206975, -0.919434, -0.093384, -0.367432, -0.610352, 1.159668, -1.647950,riding
A, 593442, -0.977295, 0.226929, -0.037842, -0.793457, -0.732422, 0.671387,riding
B, 206995, -0.919189, -0.093872, -0.367554, -0.549316, 0.976563, -1.403809,riding
A, 593462, -0.975220, 0.233521, -0.037720, -0.671387, -0.976563, 0.427246,riding
B, 207015, -0.919678, -0.095093, -0.369019, -0.488281, 0.854492, -1.159668,riding
A, 593482, -0.975342, 0.234253, -0.034912, -0.671387, -1.098633, 0.305176,riding
B, 207035, -0.919067, -0.093872, -0.371094, -0.549316, 0.549316, -0.976563,riding
A, 593502, -0.974243, 0.237061, -0.040649, -0.732422, -1.281738, -0.061035,riding
B, 207055, -0.917114, -0.092896, -0.374023, -0.549316, 0.427246, -0.793457,riding
A, 593522, -0.975586, 0.234985, -0.044922, -0.366211, -1.647950, -0.183106,riding
B, 207075, -0.917358, -0.097046, -0.374023, -0.244141, 0.244141, -0.488281,riding
A, 593542, -0.977173, 0.231689, -0.046753, -0.427246, -1.831055, -0.305176,riding
B, 207095, -0.916870, -0.099243, -0.373901, -0.488281, -0.122070, -0.183106,riding
A, 593562, -0.976074, 0.234741, -0.044434, -0.549316, -2.075195, -0.549316,riding
B, 207115, -0.918213, -0.092285, -0.373291, -0.610352, -0.305176, 0.000000,riding
A, 593582, -0.974854, 0.239624, -0.035645, -0.671387, -2.319336, -0.732422,riding
B, 207135, -0.918457, -0.089844, -0.372803, -0.427246, -0.488281, 0.244141,riding
A, 593602, -0.975464, 0.233887, -0.026855, -0.244141, -2.624512, -1.098633,riding
B, 207155, -0.919067, -0.089966, -0.370728, -0.305176, -0.671387, 0.488281,riding
A, 593622, -0.975708, 0.233276, -0.026489, -0.610352, -2.746582, -1.342773,riding
B, 207175, -0.918457, -0.088623, -0.372681, -0.549316, -0.915528, 0.488281,riding
A, 593642, -0.974854, 0.229492, -0.028687, -0.061035, -2.990724, -1.525879,riding
B, 207195, -0.919678, -0.085449, -0.371826, -0.122070, -1.037598, 0.854492,riding
A, 593662, -0.977295, 0.222778, -0.023315, -0.305176, -3.173829, -1.647950,riding
B, 207215, -0.920166, -0.085571, -0.370361, -0.366211, -1.159668, 0.915528,riding
A, 593682, -0.976685, 0.225098, -0.016479, -0.610352, -3.173829, -1.708985,riding
B, 207235, -0.922119, -0.081055, -0.367188, -0.427246, -1.342773, 1.037598,riding
A, 593702, -0.976074, 0.221680, -0.013306, -0.061035, -3.356935, -1.953125,riding
B, 207255, -0.922974, -0.080078, -0.362183, 0.000000, -1.464844, 1.281738,riding
A, 593722, -0.978760, 0.211792, -0.010742, -0.061035, -3.479005, -1.953125,riding
B, 207275, -0.924316, -0.078613, -0.360596, -0.488281, -1.586915, 1.159668,riding
A, 593742, -0.977783, 0.214478, -0.005859, -0.610352, -3.417970, -2.075195,riding
B, 207295, -0.923584, -0.075073, -0.362427, -0.488281, -1.647950, 1.159668,riding
A, 593762, -0.980225, 0.213379, -0.004883, 0.244141, -3.662110, -2.258301,riding
B, 207315, -0.924072, -0.074951, -0.361328, 0.061035, -1.647950, 1.464844,riding
A, 593782, -0.981812, 0.197632, -0.005127, -0.305176, -3.601075, -2.136230,riding
B, 207335, -0.925537, -0.075562, -0.357300, -0.305176, -1.708985, 1.281738,riding
A, 593802, -0.982056, 0.196289, -0.002808, -0.305176, -3.662110, -2.197266,riding
B, 207355, -0.926514, -0.071899, -0.354492, -0.427246, -1.708985, 1.342773,riding
A, 593822, -0.982178, 0.189453, -0.000854, 0.000000, -3.723145, -2.075195,riding
B, 207375, -0.930420, -0.074829, -0.349243, -0.305176, -1.647950, 1.525879,riding
A, 593842, -0.983032, 0.187744, 0.003540, -0.610352, -3.662110, -2.014160,riding
B, 207395, -0.928955, -0.069092, -0.350098, -0.915528, -1.647950, 1.342773,riding
A, 593862, -0.981567, 0.193970, 0.017456, -1.037598, -3.540040, -1.953125,riding
B, 207415, -0.930054, -0.059448, -0.351074, -0.976563, -1.647950, 1.159668,riding
A, 593882, -0.980591, 0.196411, 0.022461, -0.305176, -3.662110, -2.075195,riding
B, 207435, -0.929321, -0.058960, -0.351807, -0.305176, -1.586915, 1.403809,riding
A, 593902, -0.981445, 0.187622, 0.027100, -0.366211, -3.479005, -2.014160,riding
B, 207455, -0.928833, -0.059448, -0.350830, -0.610352, -1.525879, 1.159668,riding
A, 593922, -0.981689, 0.187622, 0.032959, -0.549316, -3.356935, -1.831055,riding
B, 207475, -0.930908, -0.051270, -0.350464, -0.671387, -1.525879, 0.976563,riding
A, 593942, -0.981567, 0.186279, 0.045898, -0.366211, -3.173829, -1.708985,riding
B, 207495, -0.932251, -0.048096, -0.347168, -0.366211, -1.403809, 0.793457,riding
A, 593962, -0.981445, 0.185181, 0.049438, -0.671387, -2.807618, -1.708985,riding
B, 207515, -0.930786, -0.048096, -0.347168, -0.610352, -1.342773, 0.488281,riding
A, 593982, -0.980225, 0.192993, 0.055542, -0.854492, -2.563477, -1.647950,riding
B, 207535, -0.931641, -0.041870, -0.349365, -0.732422, -1.342773, 0.244141,riding
A, 594002, -0.978638, 0.197388, 0.063354, -0.610352, -2.319336, -1.647950,riding
B, 207555, -0.931396, -0.037231, -0.351318, -0.427246, -1.281738, 0.000000,riding
A, 594022, -0.979858, 0.195557, 0.067749, -0.366211, -2.075195, -1.831055,riding
B, 207575, -0.930786, -0.037598, -0.351440, -0.122070, -1.220703, -0.183106,riding
A, 594042, -0.980713, 0.186523, 0.072388, -0.366211, -1.708985, -1.708985,riding
B, 207595, -0.931519, -0.036377, -0.348022, -0.122070, -1.220703, -0.549316,riding
A, 594062, -0.981445, 0.186523, 0.068970, -0.366211, -1.342773, -1.647950,riding
B, 207615, -0.932007, -0.035767, -0.347534, 0.000000, -1.098633, -0.854492,riding
A, 594082, -0.982056, 0.183960, 0.060303, -0.122070, -1.098633, -1.525879,riding
B, 207635, -0.931396, -0.041992, -0.346802, 0.061035, -1.037598, -1.281738,riding
A, 594102, -0.980835, 0.188354, 0.057739, -0.366211, -0.793457, -1.403809,riding
B, 207655, -0.932495, -0.040527, -0.347412, 0.122070, -0.976563, -1.525879,riding
A, 594122, -0.981567, 0.185303, 0.059448, 0.061035, -0.427246, -1.525879,riding
B, 207675, -0.932739, -0.040771, -0.345215, 0.488281, -0.915528, -1.647950,riding
A, 594142, -0.982788, 0.175659, 0.055786, 0.000000, -0.122070, -1.525879,riding
B, 207695, -0.933472, -0.042847, -0.342407, 0.488281, -0.793457, -1.953125,riding
A, 594162, -0.984009, 0.172363, 0.053467, -0.061035, 0.061035, -1.220703,riding
B, 207715, -0.934082, -0.045532, -0.342163, 0.427246, -0.732422, -2.197266,riding
A, 594182, -0.984131, 0.173340, 0.046021, 0.122070, 0.366211, -1.159668,riding
B, 207735, -0.933228, -0.047607, -0.342041, 0.732422, -0.549316, -2.319336,riding
A, 594202, -0.984741, 0.170898, 0.034546, 0.366211, 0.427246, -0.915528,riding
B, 207755, -0.933960, -0.054077, -0.341064, 0.671387, -0.366211, -2.563477,riding
A, 594222, -0.983643, 0.178101, 0.027832, 0.000000, 0.610352, -0.854492,riding
B, 207775, -0.932617, -0.056030, -0.342896, 0.610352, -0.305176, -2.685547,riding
A, 594242, -0.982544, 0.182983, 0.034546, 0.061035, 0.671387, -0.793457,riding
B, 207795, -0.933105, -0.053101, -0.343628, 0.671387, -0.183106, -2.868653,riding
A, 594262, -0.983154, 0.181641, 0.042847, 0.122070, 0.915528, -0.793457,riding
B, 207815, -0.934082, -0.052490, -0.341431, 0.915528, -0.061035, -2.929688,riding
A, 594282, -0.984497, 0.171143, 0.035400, 0.793457, 0.976563, -0.793457,riding
B, 207835, -0.935181, -0.056885, -0.338135, 1.403809, 0.122070, -2.868653,riding
A, 594302, -0.987671, 0.160522, 0.025513, 0.183106, 1.220703, -0.366211,riding
B, 207855, -0.934082, -0.060913, -0.339111, 0.854492, 0.244141, -3.295899,riding
A, 594322, -0.986328, 0.163574, 0.024902, 0.305176, 1.403809, -0.122070,riding
B, 207875, -0.934326, -0.061279, -0.339722, 0.915528, 0.488281, -3.356935,riding
A, 594342, -0.986938, 0.162354, 0.025635, 0.366211, 1.525879, 0.061035,riding
B, 207895, -0.934326, -0.064209, -0.337036, 0.976563, 0.732422, -3.540040,riding
A, 594362, -0.986938, 0.164551, 0.017090, 0.427246, 1.586915, 0.183106,riding
B, 207915, -0.933960, -0.068237, -0.335938, 1.220703, 0.915528, -3.479005,riding
A, 594382, -0.986816, 0.161133, 0.008545, 0.732422, 1.586915, 0.366211,riding
B, 207935, -0.934570, -0.073853, -0.334839, 1.159668, 1.159668, -3.601075,riding
A, 594402, -0.989014, 0.155273, 0.005737, 0.061035, 1.770020, 0.610352,riding
B, 207955, -0.934204, -0.077148, -0.336426, 0.549316, 1.281738, -3.784181,riding
A, 594422, -0.987549, 0.159302, -0.005737, 0.000000, 1.770020, 0.793457,riding
B, 207975, -0.932617, -0.080933, -0.338013, 0.732422, 1.525879, -3.662110,riding
A, 594442, -0.987183, 0.163818, -0.012695, -0.122070, 1.708985, 1.159668,riding
B, 207995, -0.930542, -0.085571, -0.343384, 0.244141, 1.647950, -3.784181,riding
A, 594462, -0.983154, 0.188721, -0.019409, -0.976563, 1.770020, 1.464844,riding
B, 208015, -0.926636, -0.086426, -0.350098, -0.366211, 1.708985, -3.906251,riding
A, 594482, -0.979736, 0.202393, -0.020752, -0.610352, 1.586915, 1.342773,riding
B, 208035, -0.924683, -0.087891, -0.357544, 0.122070, 1.831055, -3.540040,riding
A, 594502, -0.978760, 0.208618, -0.030884, 0.244141, 1.342773, 1.220703,riding
B, 208055, -0.922607, -0.092773, -0.359741, 0.854492, 1.831055, -3.173829,riding
A, 594522, -0.979614, 0.207886, -0.047241, 0.671387, 1.098633, 1.159668,riding
B, 208075, -0.922363, -0.101929, -0.361694, 1.098633, 1.831055, -2.807618,riding
A, 594542, -0.980591, 0.204590, -0.060303, 0.305176, 0.854492, 1.220703,riding
B, 208095, -0.920288, -0.110596, -0.363037, 0.488281, 1.708985, -2.807618,riding
A, 594562, -0.979004, 0.219116, -0.064209, -0.976563, 0.732422, 1.281738,riding
B, 208115, -0.917847, -0.111206, -0.368652, -0.671387, 1.464844, -2.929688,riding
A, 594582, -0.975830, 0.238281, -0.068115, -1.403809, 0.488281, 1.159668,riding
B, 208135, -0.917114, -0.109863, -0.373535, -0.854492, 1.342773, -2.624512,riding
A, 594602, -0.975708, 0.238037, -0.078491, -0.305176, -0.061035, 0.610352,riding
B, 208155, -0.917480, -0.115845, -0.368774, 0.366211, 1.220703, -1.525879,riding
A, 594622, -0.978638, 0.219116, -0.077881, -0.122070, -0.549316, 0.488281,riding
B, 208175, -0.917114, -0.119629, -0.369995, -0.671387, 1.037598, -1.586915,riding
A, 594642, -0.978516, 0.220947, -0.069336, -1.464844, -0.854492, 0.549316,riding
B, 208195, -0.917358, -0.112671, -0.372559, -1.220703, 0.915528, -1.403809,riding
A, 594662, -0.978760, 0.223389, -0.062500, -0.915528, -1.220703, 0.488281,riding
B, 208215, -0.917236, -0.107056, -0.373169, -0.793457, 0.793457, -0.915528,riding
A, 594682, -0.977295, 0.226196, -0.058838, -1.220703, -1.525879, 0.488281,riding
B, 208235, -0.917603, -0.105835, -0.373901, -1.098633, 0.671387, -0.732422,riding
A, 594702, -0.974854, 0.237793, -0.052124, -1.647950, -1.708985, 0.366211,riding
B, 208255, -0.914917, -0.105103, -0.377319, -1.525879, 0.427246, -0.671387,riding
A, 594722, -0.972290, 0.252686, -0.046387, -1.831055, -1.892090, 0.061035,riding
B, 208275, -0.912720, -0.101929, -0.381470, -1.708985, 0.244141, -0.488281,riding
A, 594742, -0.971069, 0.256836, -0.041748, -0.854492, -2.258301, -0.366211,riding
B, 208295, -0.913818, -0.094971, -0.383179, -0.671387, -0.061035, 0.183106,riding
A, 594762, -0.972168, 0.247070, -0.037354, -0.549316, -2.502441, -0.671387,riding
B, 208315, -0.914429, -0.095093, -0.382690, -0.610352, -0.244141, 0.366211,riding
A, 594782, -0.974121, 0.239258, -0.038208, -0.549316, -2.624512, -0.793457,riding
B, 208335, -0.913208, -0.098389, -0.381348, -0.549316, -0.488281, 0.488281,riding
A, 594802, -0.974121, 0.240234, -0.038086, -0.610352, -2.807618, -0.854492,riding
B, 208355, -0.913208, -0.095947, -0.384888, -0.915528, -0.732422, 0.549316,riding
A, 594822, -0.970093, 0.260376, -0.031738, -0.915528, -2.990724, -1.220703,riding
B, 208375, -0.913696, -0.089600, -0.385864, -1.037598, -0.915528, 0.671387,riding
A, 594842, -0.972046, 0.252075, -0.032715, 0.610352, -3.417970, -1.831055,riding
B, 208395, -0.914917, -0.089355, -0.380493, 0.366211, -1.098633, 1.281738,riding
A, 594862, -0.976563, 0.229614, -0.029663, 0.427246, -3.540040, -1.953125,riding
B, 208415, -0.917847, -0.095459, -0.374023, -15.258793, -1.403809, 1.281738,riding
A, 594882, -0.976929, 0.226685, -0.030762, -0.427246, -3.479005, -1.953125,riding
B, 208435, -0.916870, -0.089966, -0.373535, -0.366211, -1.586915, 1.403809,riding
A, 594902, -0.976929, 0.220215, -0.030640, 0.427246, -3.845216, -2.197266,riding
B, 208455, -0.920654, -0.088257, -0.369263, 0.305176, -1.525879, 1.831055,riding
A, 594922, -0.980469, 0.204102, -0.028687, 0.427246, -4.028320, -2.136230,riding
B, 208475, -0.921509, -0.092163, -0.364380, 0.122070, -1.586915, 1.892090,riding
A, 594942, -0.982300, 0.197510, -0.029907, 0.183106, -4.089355, -2.014160,riding
B, 208495, -0.923462, -0.092407, -0.359497, -0.061035, -1.586915, 2.014160,riding
A, 594962, -0.981689, 0.197144, -0.025269, -0.061035, -4.150391, -1.892090,riding
B, 208515, -0.924072, -0.089478, -0.358032, -0.488281, -1.586915, 1.953125,riding
A, 594982, -0.980347, 0.204224, -0.021973, -0.610352, -4.211426, -1.892090,riding
B, 208535, -0.924805, -0.083130, -0.358643, -0.793457, -1.525879, 1.953125,riding
A, 595002, -0.980103, 0.204346, -0.011475, -0.366211, -4.455566, -1.953125,riding
B, 208555, -0.923706, -0.082153, -0.360229, -0.671387, -1.586915, 2.136230,riding
A, 595022, -0.979736, 0.205811, -0.006592, -0.732422, -4.455566, -1.892090,riding
B, 208575, -0.922485, -0.077637, -0.365723, -1.037598, -1.586915, 2.075195,riding
A, 595042, -0.977173, 0.213257, -0.002686, -0.854492, -4.394531, -1.831055,riding
B, 208595, -0.921021, -0.071167, -0.367920, -1.098633, -1.586915, 2.075195,riding
A, 595062, -0.976563, 0.214844, 0.004639, -0.549316, -4.516602, -1.953125,riding
B, 208615, -0.922852, -0.067017, -0.366699, -0.793457, -1.647950, 2.136230,riding
A, 595082, -0.977417, 0.213989, 0.012207, -0.549316, -4.516602, -1.953125,riding
B, 208635, -0.924194, -0.066895, -0.363770, -0.854492, -1.708985, 2.136230,riding
A, 595102, -0.977661, 0.211914, 0.014282, -0.549316, -4.394531, -2.075195,riding
B, 208655, -0.924805, -0.066650, -0.361328, -0.793457, -1.770020, 2.075195,riding
A, 595122, -0.978638, 0.208374, 0.016602, -0.671387, -4.333496, -2.136230,riding
B, 208675, -0.926636, -0.062256, -0.359375, -0.915528, -1.770020, 2.014160,riding
A, 595142, -0.979248, 0.205688, 0.021973, -0.732422, -4.272461, -2.136230,riding
B, 208695, -0.926758, -0.056396, -0.360352, -0.732422, -1.708985, 1.953125,riding
A, 595162, -0.981445, 0.192871, 0.031006, -0.305176, -4.211426, -2.136230,riding
B, 208715, -0.928101, -0.056885, -0.356934, -0.488281, -1.708985, 1.892090,riding
A, 595182, -0.981323, 0.190674, 0.036377, -0.671387, -3.967286, -1.953125,riding
B, 208735, -0.929077, -0.052856, -0.356323, -0.793457, -1.708985, 1.586915,riding
A, 595202, -0.980591, 0.195923, 0.041748, -0.671387, -3.845216, -1.953125,riding
B, 208755, -0.928467, -0.046265, -0.354980, -0.732422, -1.647950, 1.464844,riding
A, 595222, -0.979736, 0.196655, 0.045776, -0.305176, -3.723145, -1.953125,riding
B, 208775, -0.930176, -0.047485, -0.351807, -0.427246, -1.525879, 1.403809,riding
A, 595242, -0.981323, 0.187500, 0.050781, -0.244141, -3.417970, -1.953125,riding
B, 208795, -0.930908, -0.046875, -0.349243, -0.366211, -1.464844, 1.220703,riding
A, 595262, -0.980957, 0.182861, 0.054199, -0.305176, -3.173829, -1.831055,riding
B, 208815, -0.931641, -0.041016, -0.349731, -0.427246, -1.342773, 0.793457,riding
A, 595282, -0.981689, 0.183716, 0.053589, -0.366211, -2.990724, -1.708985,riding
B, 208835, -0.931274, -0.041138, -0.350586, -0.366211, -1.220703, 0.671387,riding
A, 595302, -0.981567, 0.185181, 0.057251, -0.427246, -2.746582, -1.586915,riding
B, 208855, -0.931274, -0.039795, -0.350098, -0.366211, -1.098633, 0.366211,riding
A, 595322, -0.981689, 0.183960, 0.065552, -0.549316, -2.441406, -1.464844,riding
B, 208875, -0.932739, -0.034912, -0.349121, -0.366211, -1.037598, 0.122070,riding
A, 595342, -0.980957, 0.184937, 0.072144, -0.488281, -1.953125, -1.281738,riding
B, 208895, -0.932129, -0.032715, -0.348877, -0.305176, -0.915528, -0.244141,riding
A, 595362, -0.980103, 0.189453, 0.070313, -0.427246, -1.586915, -1.220703,riding
B, 208915, -0.932739, -0.033813, -0.349243, -0.183106, -0.854492, -0.549316,riding
A, 595382, -0.979370, 0.190063, 0.071777, -0.366211, -1.281738, -1.281738,riding
B, 208935, -0.931152, -0.033813, -0.350586, -0.122070, -0.732422, -0.854492,riding
A, 595402, -0.979736, 0.187622, 0.075439, -0.549316, -0.915528, -1.098633,riding
B, 208955, -0.930908, -0.033203, -0.349854, -0.061035, -0.549316, -1.342773,riding
A, 595422, -0.980591, 0.187500, 0.070557, -0.183106, -0.671387, -1.098633,riding
